,Nombre,Ult,Max,Min,Dif,Fecha
0,ACCIONA,"159,3000",161.1,156.2,"-2,27",2021-11-27 20:49:51.638861
1,ACERINOX,"10,1100",10.385,9.95,"-4,76",2021-11-27 20:49:51.642393
2,ACS,"21,0200",21.79,20.98,"-6,16",2021-11-27 20:49:51.645322
3,AENA,"128,4500",134.9,127.45,"-8,77",2021-11-27 20:49:51.648196
4,ALMIRALL,"10,7500",10.99,10.56,"-1,65",2021-11-27 20:49:51.651069
5,AMADEUS,"56,7400",57.5,52.82,"-7,50",2021-11-27 20:49:51.653932
6,ARCELORMIT.,"24,2550",24.99,24.215,"-7,10",2021-11-27 20:49:51.656795
7,B.SANTANDER,"2,7830",2.92,2.783,"-8,92",2021-11-27 20:49:51.659661
8,BA.SABADELL,"0,5890",0.6064,0.581,"-6,09",2021-11-27 20:49:51.662521
9,BANKINTER,"4,3060",4.431,4.04,"-5,30",2021-11-27 20:49:51.665383
10,BBVA,"4,8460",5.054,4.846,"-7,34",2021-11-27 20:49:51.668251
11,CAIXABANK,"2,2850",2.342,2.276,"-4,99",2021-11-27 20:49:51.671113
12,CELLNEX,"52,7400",53.06,51.0,"1,97",2021-11-27 20:49:51.674046
13,CIE AUTOMOT.,"25,0200",25.9,24.98,"-4,14",2021-11-27 20:49:51.677029
14,ENAGAS,"19,8700",20.08,19.775,"-1,39",2021-11-27 20:49:51.679924
15,ENDESA,"20,0800",20.28,19.93,"-2,00",2021-11-27 20:49:51.683153
16,FERROVIAL,"24,7700",26.32,24.77,"-8,70",2021-11-27 20:49:51.686076
17,FLUIDRA,"32,9500",33.4,32.0,"-1,35",2021-11-27 20:49:51.688898
18,GRIFOLS CL.A,"17,1650",17.64,17.08,"-2,75",2021-11-27 20:49:51.691658
19,IAG,"1,5510",1.694,1.5325,"-15,59",2021-11-27 20:49:51.694429
20,IBERDROLA,"9,9460",10.18,9.908,"-3,11",2021-11-27 20:49:51.697194
21,INDITEX,"29,2400",30.3,29.0,"-4,94",2021-11-27 20:49:51.699956
22,INDRA A,"10,1600",10.33,10.09,"-2,78",2021-11-27 20:49:51.702697
23,INM.COLONIAL,"8,1650",8.335,8.13,"-4,00",2021-11-27 20:49:51.705459
24,MAPFRE,"1,8255",1.849,1.8055,"-2,46",2021-11-27 20:49:51.708233
25,MELIA HOTELS,"5,8380",6.072,5.676,"-7,77",2021-11-27 20:49:51.710926
26,MERLIN,"9,8260",10.115,9.8,"-4,23",2021-11-27 20:49:51.713583
27,NATURGY,"24,1700",24.27,23.9,"-1,10",2021-11-27 20:49:51.716268
28,PHARMA MAR,"58,2800",59.76,56.5,"1,18",2021-11-27 20:49:51.718935
29,R.E.C.,"18,4000",18.5,18.26,"-0,30",2021-11-27 20:49:51.721636
30,REPSOL,"9,7080",10.016,9.62,"-7,35",2021-11-27 20:49:51.724406
31,SIEMENS GAME,"23,3800",23.81,21.65,"3,54",2021-11-27 20:49:51.727250
32,SOLARIA,"16,6150",16.955,16.4,"-2,41",2021-11-27 20:49:51.730067
33,TELEFONICA,"3,9090",3.9515,3.8505,"-2,88",2021-11-27 20:49:51.732903
34,VISCOFAN,"57,1000",57.95,56.65,"-0,44",2021-11-27 20:49:51.735467
